Comments,Reviewer Name,,,,,,,,,,
"Highly acute gender ratio. Only 35 girls in my batch of around 550 (B.Tech. batch). Very happening campus life due to numerous options of extracurricular activities available. All the sports facilities like cricket, football, hockey, swimming, athletics, basketball, volleyball, badminton, lawn tennis, table tennis, squash and any other sport you can think of are available having international standards. Hobbies club is there with facilities like robotics, electronics, gardening, philately, etc. Cultural societies like SPIC Macay, Watch out in house magazine, etc.",,,,,,,,,,,
Campus life is an awesome very beautiful campus in terms of greenery roads lighting canteens and market is also outside the campus so i  think life is hassle free gender ration - 20% female and rest are males.,,,,,,,,,,,
"Sports, competitions many clubs what not, almost everything is there in college. The gender ratio is like 40:1 (boys:girls). Extracurricular activities are awesome in my college, robotics and electronics cell are really good we learn a lot. sports are maintained.",,,,,,,,,,,
"The gender ratio is very bad at IITR due to the lack of girl students and male students dominant. But still, the college is very diverse in regards to the student's talent. The campus has many groups such as Music Section, Chroeo Section Dramatics, and Cinematic as well. Sports facilities offered here are close to the best. Any student can pursue any sport he wants such as Cricket, Football. Athletics, BasketBall, etc. The campus also has a gymnasium. There are other societies as well such as Quizzing, Debate, Robotics, Astronomy, Software Development, Gardening, etc.",,,,,,,,,,,
"There are a lot of cultural, technical groups in our college. The choreography section, music section, lights section, audio section are the main cultural groups of our college. Watch out, geek gazette,kshitiz are the main magazine groups of our college. ASME, SAE, Team Knox, FSAE are the main technical groups of our college. The gender ratio is very low. It is around 1:80 girls to boys. Each hostel has its own Bhawan day annually. In our technical fest, there are a lot of competitions organized related to robotics, literature, coding etc. Students affairs council is mainly responsible for raising students' voices. SAC members are elected through voting by students.",,,,,,,,,,,
"Placement season begins in our final year. The nature of companies coming to IITR is quite diverse. There are software giants like Microsoft, Oracle, Google, Facebook. Banks like Goldman Sachs and Morgan Stanley. Oil and mining companies of Schlumberger, Shell and Rio Tinto, and numerous other firms. This year the total number of job offers were 803 and companies participated 139. Highest international package: 1.5 crores. Highest domestic offer: 80 lakhs. The placement season begins in the months of October, November, and December. Your CG matters and most importantly coding matters in one way or another.|Campus aids you in the third-year first semester, where companies come to hire interns, on-campus interns. It involves rounds of testing, applications, and interviews. Off-campus internships involve students applying on their own, involve mailing. It can be applied any year, any semester. GSoC is quite popular here. Research interns involve you working with a professor on a project.",,,,,,,,,,,
"Almost all students get placed in the campus placement drive. The highest international salary package offered is 1.5 crores per annum. The highest domestic salary package offered is 60 lacs per annum. The lowest salary package offered ranges between 10-15 LPA. The average salary package data was not available. Top recruiting companies like Microsoft, Goldman Sachs, Adobe, Tower Research, etc., visited our college for placements. Top roles, like software engineer and data analyst, are offered to the students. Almost 80-90% of the students from our course got an internship.",,,,,,,,,,,
"No I haven't availed any intern yet. I'm a first year student. But according to last year data told to me in my orientation program, more than 96% students were placed in so many companies. Yes, they are some steps taken by department's HRs to prepare their students for the placement season. Companies like Google microsoft, intel. They recruit students on so many criterias such as their cgpa, based on their academic excellence during four years, on some types of exams taken by them, interviews.",,,,,,,,,,,
"Campus placement of the college is very good. I study mechanical engineering. In the core field, the average package is not much high about 9-10 LPA. In coding or software placement is the very high average package is about 20-25 LPA. This year 3 students got a 1.51 crore per annum package. The on-campus coding culture is very high. And also here is a good opportunity for internships. Companies like Google, Oracle, Microsoft, Amazon, Flipkart, Paytm, Facebook, jaguar, honda, Goldman Sachs, etc.",,,,,,,,,,,
"Placement and internships lie in the A category for all corporates and MNCs. I did my internship at Cadence (Noida) and got places at Intel (Bangalore) at a package of 18 LPA. In 30% of cases, pre-placement offers are also extended by Companies at the time of the internship. Our placement cell was very active in those times and helped a lot in getting to the best possible companies.",,,,,,,,,,,
"Many reputed companies like L&T, Infosys, Goldman Sachs, Facebook, Google, Future First, etc. visited the campus. Resume verification was done as a part of recruitment by the Central Placement team. The only single placement was allowed till 80% of the students of the same branch gets placed. Almost 100% of students get placed every year. Yes, institutions takes special steps to ensure the placement and preparing the students by giving them proper guidance.",,,,,,,,,,,
98 percentage of placements and I had got placement in PRDC(Power Research and Development Corporation Pvt. Ltd.) but after I resigned and joined RINL.,,,,,,,,,,,
"Many famous companies like Google Microsoft,intel, etc. used to visit in our campus placement cell every year. Students give interviews and some exams conducted by companies for their placements in companies. The placement record of my department in last four years is more than 85 percent. Alumni interactions with students play a huge role in job referrals. They guide students to choose the best career options for their bright future.|No, I haven't done intership yet.",,,,,,,,,,,
Placement and internship in our college is as good as it gets in any engineering college. we begged around 500 intern offers and around 1500 placement offers. Placement is almost closed to 100 %. I myself begged an SDE intern in Amazon. There are plenty of international offers as well. with the highest international offer made of around 1.5 crores per annum and the highest domestic of 60 lakhs per annum. we have plenty of international and domestic research interns and placement also.,,,,,,,,,,,
"This college has a national record in placement. The students of this college are meritorious and highly skilled, so they received a high amount of packages from the leading companies such as Google, Microsoft, IBM, Facebook, Tata corporation, L&T, TCS, Biocon, ISRO, Reliance, and many other high valued corporations. Most of the companies follow the same trend to select the students. 1st - they decide a CGPA cutoff score for the students that varies from company to company. 2nd- written exam related to the field. 3rd- 1st round interview (technical interview). 4th- 2nd round interview (hr interview). After all these steps, the qualified students receive the job offer letter. The tentative percentage of placement is more than 80. This Institute has a separate training and placement department that help the students to prepare for the placement. It provides special mock tests, personal interview sessions to each and every student. This department prepares the student mentally and physically for the placement drives.",,,,,,,,,,,
"Generally, more than 90% of students get placed every year from our course. Companies like BAJAJ, TATA STEELS, MARUTI SUZUKI, RELIANCE PETROLEUM INDUSTRY, JAGUAR AND LAND ROVER LIMITED comes and many more come for the recruitment. There is a specific group named Training and placement office which take care of the training of students for making them ready for the internship and placement, calling the companies for recruitment.
The general procedure of recruitment is as follows- Firstly the application then online test then Group discussion and then final interview including an hour round.",,,,,,,,,,,
